ID,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_product,prior_purchases,product_importance,gender,discount_percentage,weight_in_grams,reached_on_time,customer_rating_string,weight_in_kg_binned,prior_purchases_binned,user_segmentation
4546,B,Ship,7,1,4076250,5,medium,M,8,1776,Yes,Dissatisfied,1-2.5kg,4-6,Silver
4547,C,Ship,7,1,4744755,4,low,F,9,1880,No,Dissatisfied,1-2.5kg,2-4,Bronze
4548,E,Ship,6,4,4157775,4,low,F,3,1569,No,Satisfied,1-2.5kg,2-4,Bronze
4549,D,Ship,6,5,4728450,4,medium,F,3,1463,No,Satisfied,1-2.5kg,2-4,Bronze
4550,E,Ship,5,5,4500180,4,low,F,7,1742,Yes,Satisfied,1-2.5kg,2-4,Bronze
4551,A,Ship,4,3,2429445,3,medium,F,1,1448,No,Neutral,1-2.5kg,2-4,Bronze
4552,B,Ship,6,2,5054550,4,medium,F,5,1791,No,Dissatisfied,1-2.5kg,2-4,Bronze
4553,C,Ship,7,5,4451265,4,low,F,7,1364,Yes,Satisfied,1-2.5kg,2-4,Bronze
4554,E,Ship,6,3,3978420,4,low,F,5,1668,No,Neutral,1-2.5kg,2-4,Bronze
4555,D,Ship,6,4,4483875,4,low,F,4,1192,No,Satisfied,1-2.5kg,2-4,Bronze
4556,E,Ship,7,2,5021940,4,low,F,7,1176,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4557,A,Ship,6,5,4304520,4,low,M,6,1005,Yes,Satisfied,1-2.5kg,2-4,Bronze
4558,B,Ship,6,2,4174080,5,medium,F,2,1449,No,Dissatisfied,1-2.5kg,4-6,Silver
4559,C,Ship,5,1,4108860,4,medium,M,4,1837,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4560,E,Ship,6,2,3978420,4,low,F,4,1245,No,Dissatisfied,1-2.5kg,2-4,Bronze
4561,D,Ship,6,1,4565400,4,medium,M,5,1431,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4562,E,Ship,5,3,3701235,4,low,F,10,1317,No,Neutral,1-2.5kg,2-4,Bronze
4563,A,Ship,6,4,4434960,4,low,F,7,1706,No,Satisfied,1-2.5kg,2-4,Bronze
4564,B,Ship,6,2,4467570,4,medium,M,8,1626,No,Dissatisfied,1-2.5kg,2-4,Bronze
4565,C,Ship,6,3,5054550,4,low,F,2,1817,Yes,Neutral,1-2.5kg,2-4,Bronze
4566,E,Ship,6,2,4598010,5,medium,M,5,1818,No,Dissatisfied,1-2.5kg,4-6,Silver
4567,D,Ship,6,1,4027335,4,medium,F,10,1783,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4568,E,Ship,4,2,4271910,4,low,M,2,5311,Yes,Dissatisfied,4-6kg,2-4,Bronze
4569,A,Ship,3,3,3472965,3,medium,M,7,4133,Yes,Neutral,4-6kg,2-4,Bronze
4570,B,Ship,4,5,2217480,3,medium,M,7,4817,No,Satisfied,4-6kg,2-4,Bronze
4571,C,Ship,3,5,2184870,2,low,F,4,5291,Yes,Satisfied,4-6kg,2-4,Bronze
4572,E,Ship,2,2,2788155,2,medium,F,6,5105,Yes,Dissatisfied,4-6kg,2-4,Bronze
4573,D,Ship,3,2,2967510,2,low,M,10,4391,No,Dissatisfied,4-6kg,2-4,Bronze
4574,E,Ship,4,4,3016425,3,medium,M,9,4469,Yes,Satisfied,4-6kg,2-4,Bronze
4575,A,Ship,4,2,4418655,3,medium,F,4,5902,Yes,Dissatisfied,4-6kg,2-4,Bronze
4576,B,Ship,4,1,2706630,5,low,F,1,5463,No,Dissatisfied,4-6kg,4-6,Silver
4577,C,Ship,4,2,3195780,2,low,M,4,5852,Yes,Dissatisfied,4-6kg,2-4,Bronze
4578,E,Ship,4,4,2559885,4,low,M,6,4175,Yes,Satisfied,4-6kg,2-4,Bronze
4579,D,Ship,4,4,3554490,2,low,M,4,4104,No,Satisfied,4-6kg,2-4,Bronze
4580,E,Ship,4,3,2315310,3,medium,F,6,5930,Yes,Neutral,4-6kg,2-4,Bronze
4581,A,Ship,3,1,3864285,2,low,M,9,4626,No,Dissatisfied,4-6kg,2-4,Bronze
4582,B,Ship,6,3,3472965,4,low,F,2,5349,Yes,Neutral,4-6kg,2-4,Bronze
4583,C,Ship,5,1,3929505,2,medium,F,3,5391,No,Dissatisfied,4-6kg,2-4,Bronze
4584,E,Ship,2,2,2771850,3,high,F,7,4284,No,Dissatisfied,4-6kg,2-4,Bronze
4585,D,Ship,3,1,2543580,3,medium,M,9,4278,Yes,Dissatisfied,4-6kg,2-4,Bronze
4586,E,Ship,3,4,3717540,3,medium,F,8,5419,Yes,Satisfied,4-6kg,2-4,Bronze
4587,A,Ship,3,1,2364225,3,high,F,10,4364,Yes,Dissatisfied,4-6kg,2-4,Bronze
4588,B,Ship,4,1,2364225,3,low,M,3,5618,No,Dissatisfied,4-6kg,2-4,Bronze
4589,C,Ship,3,4,2706630,3,medium,F,8,4369,No,Satisfied,4-6kg,2-4,Bronze
4590,E,Ship,5,5,1728330,5,medium,F,4,4410,No,Satisfied,4-6kg,4-6,Silver
4591,D,Ship,5,3,3424050,3,high,F,4,4819,Yes,Neutral,4-6kg,2-4,Bronze
4592,E,Ship,2,1,3831675,3,medium,F,6,4411,No,Dissatisfied,4-6kg,2-4,Bronze
4593,A,Ship,4,2,2315310,2,medium,F,5,4062,Yes,Dissatisfied,4-6kg,2-4,Bronze
4594,B,Ship,3,4,4418655,3,low,F,9,4889,No,Satisfied,4-6kg,2-4,Bronze
4595,C,Ship,4,5,3994725,3,medium,F,2,5439,No,Satisfied,4-6kg,2-4,Bronze
4596,E,Ship,4,2,3130560,4,medium,F,2,5503,Yes,Dissatisfied,4-6kg,2-4,Bronze
4597,D,Ship,5,4,4402350,3,medium,M,9,4992,No,Satisfied,4-6kg,2-4,Bronze
4598,E,Ship,4,4,3212085,3,low,F,7,5099,Yes,Satisfied,4-6kg,2-4,Bronze
4599,A,Ship,2,1,4157775,3,medium,F,1,5929,Yes,Dissatisfied,4-6kg,2-4,Bronze
4600,B,Ship,5,3,3636015,2,medium,F,9,5735,Yes,Neutral,4-6kg,2-4,Bronze
4601,C,Ship,3,5,4174080,3,low,M,7,4366,No,Satisfied,4-6kg,2-4,Bronze
4602,E,Ship,4,2,3733845,2,low,M,9,5026,Yes,Dissatisfied,4-6kg,2-4,Bronze
4603,D,Ship,3,3,3799065,3,low,F,5,4976,No,Neutral,4-6kg,2-4,Bronze
4604,E,Ship,3,4,2674020,6,medium,F,4,5567,No,Satisfied,4-6kg,4-6,Silver
4605,A,Ship,3,1,2788155,2,medium,F,6,5704,No,Dissatisfied,4-6kg,2-4,Bronze
4606,B,Ship,5,2,2902290,5,low,F,5,5167,Yes,Dissatisfied,4-6kg,4-6,Silver
4607,C,Ship,3,1,3799065,2,high,M,1,5073,No,Dissatisfied,4-6kg,2-4,Bronze
4608,E,Ship,3,1,3782760,2,medium,F,2,5104,No,Dissatisfied,4-6kg,2-4,Bronze
4609,D,Ship,4,2,3847980,3,low,F,1,4076,Yes,Dissatisfied,4-6kg,2-4,Bronze
4610,E,Ship,3,2,3212085,3,medium,F,3,4491,Yes,Dissatisfied,4-6kg,2-4,Bronze
4611,A,Ship,3,3,2478360,3,low,M,6,5749,No,Neutral,4-6kg,2-4,Bronze
4612,B,Ship,3,4,3570795,2,medium,M,7,4883,No,Satisfied,4-6kg,2-4,Bronze
4613,C,Ship,4,2,3342525,2,low,F,10,5580,Yes,Dissatisfied,4-6kg,2-4,Bronze
4614,E,Ship,3,2,2315310,2,low,M,7,4082,Yes,Dissatisfied,4-6kg,2-4,Bronze
4615,D,Ship,6,4,1826160,4,medium,F,9,4005,No,Satisfied,4-6kg,2-4,Bronze
4616,E,Ship,2,2,4141470,2,low,F,8,5827,Yes,Dissatisfied,4-6kg,2-4,Bronze
4617,A,Ship,4,3,4174080,3,high,F,1,4323,Yes,Neutral,4-6kg,2-4,Bronze
4618,B,Ship,4,4,2739240,4,medium,F,4,4676,Yes,Satisfied,4-6kg,2-4,Bronze
4619,C,Ship,3,4,2788155,3,low,F,5,5872,Yes,Satisfied,4-6kg,2-4,Bronze
4620,E,Ship,6,5,3505575,4,medium,M,5,5409,No,Satisfied,4-6kg,2-4,Bronze
4621,D,Ship,3,3,2755545,3,low,F,9,4317,No,Neutral,4-6kg,2-4,Bronze
4622,E,Ship,3,3,2429445,4,medium,F,3,5944,No,Neutral,4-6kg,2-4,Bronze
4623,A,Ship,4,1,3636015,3,low,F,9,4832,Yes,Dissatisfied,4-6kg,2-4,Bronze
4624,B,Ship,5,3,3652320,2,low,M,6,5962,No,Neutral,4-6kg,2-4,Bronze
4625,C,Ship,2,5,3032730,2,medium,M,10,4506,Yes,Satisfied,4-6kg,2-4,Bronze
4626,E,Ship,4,4,3000120,3,medium,F,2,5381,Yes,Satisfied,4-6kg,2-4,Bronze
4627,D,Ship,3,1,2478360,3,low,F,3,5839,No,Dissatisfied,4-6kg,2-4,Bronze
4628,E,Ship,5,3,4059945,2,low,F,9,4568,Yes,Neutral,4-6kg,2-4,Bronze
4629,A,Ship,3,3,2820765,5,medium,F,10,5840,Yes,Neutral,4-6kg,4-6,Silver
4630,B,Ship,5,5,2722935,2,medium,M,2,5908,Yes,Satisfied,4-6kg,2-4,Bronze
4631,C,Ship,5,2,3750150,2,medium,M,9,4483,Yes,Dissatisfied,4-6kg,2-4,Bronze
4632,E,Road,5,3,3864285,3,low,F,8,5131,Yes,Neutral,4-6kg,2-4,Bronze
4633,D,Road,3,4,3293610,5,high,M,5,4632,Yes,Satisfied,4-6kg,4-6,Silver
4634,E,Road,4,3,2184870,4,low,M,3,5233,Yes,Neutral,4-6kg,2-4,Bronze
4635,A,Road,5,3,4288215,3,medium,F,2,4688,Yes,Neutral,4-6kg,2-4,Bronze
4636,B,Road,5,2,4434960,2,low,F,1,5412,Yes,Dissatisfied,4-6kg,2-4,Bronze
4637,C,Road,4,2,3766455,6,low,M,8,5227,Yes,Dissatisfied,4-6kg,4-6,Silver
4638,E,Road,3,4,3097950,4,medium,F,7,5963,No,Satisfied,4-6kg,2-4,Bronze
4639,D,Road,5,4,3636015,2,low,M,5,4424,No,Satisfied,4-6kg,2-4,Bronze
4640,E,Road,5,1,4190385,3,medium,F,5,4355,Yes,Dissatisfied,4-6kg,2-4,Bronze
4641,A,Road,4,4,3000120,3,medium,M,2,4639,Yes,Satisfied,4-6kg,2-4,Bronze
4642,B,Road,3,5,3146865,3,medium,M,1,5810,No,Satisfied,4-6kg,2-4,Bronze
4643,C,Road,4,3,3326220,2,low,F,7,4717,No,Neutral,4-6kg,2-4,Bronze
4644,E,Road,3,2,3847980,3,medium,M,8,5783,Yes,Dissatisfied,4-6kg,2-4,Bronze
4645,D,Road,5,3,3619710,2,medium,M,3,4460,No,Neutral,4-6kg,2-4,Bronze
4646,E,Road,4,1,2282700,5,medium,M,6,4001,No,Dissatisfied,4-6kg,4-6,Silver
4647,A,Road,3,1,3326220,3,high,F,9,5093,Yes,Dissatisfied,4-6kg,2-4,Bronze
4648,B,Road,3,2,4418655,2,medium,M,6,5280,No,Dissatisfied,4-6kg,2-4,Bronze
4649,C,Road,3,1,1760940,6,medium,F,7,4024,Yes,Dissatisfied,4-6kg,4-6,Silver
4650,E,Road,4,1,3358830,3,low,F,4,4745,Yes,Dissatisfied,4-6kg,2-4,Bronze
4651,D,Road,3,2,2934900,2,high,F,8,4408,Yes,Dissatisfied,4-6kg,2-4,Bronze
4652,E,Road,3,2,3146865,3,low,F,7,5224,Yes,Dissatisfied,4-6kg,2-4,Bronze
4653,A,Road,5,1,3880590,4,medium,M,10,4668,Yes,Dissatisfied,4-6kg,2-4,Bronze
4654,B,Flight,5,3,3815370,3,low,F,6,4632,Yes,Neutral,4-6kg,2-4,Bronze
4655,C,Flight,2,5,4418655,2,low,F,5,5164,No,Satisfied,4-6kg,2-4,Bronze
4656,E,Flight,5,2,1663110,5,medium,F,3,4784,Yes,Dissatisfied,4-6kg,4-6,Silver
4657,D,Flight,3,1,3016425,3,medium,M,7,5474,No,Dissatisfied,4-6kg,2-4,Bronze
4658,E,Flight,4,1,4451265,2,high,F,10,5832,No,Dissatisfied,4-6kg,2-4,Bronze
4659,A,Flight,6,3,3799065,6,low,F,9,4814,Yes,Neutral,4-6kg,4-6,Silver
4660,B,Flight,5,3,3114255,2,medium,M,7,5783,No,Neutral,4-6kg,2-4,Bronze
4661,C,Flight,4,4,3896895,2,medium,M,4,4304,No,Satisfied,4-6kg,2-4,Bronze
4662,E,Flight,3,3,4402350,3,low,M,7,4152,Yes,Neutral,4-6kg,2-4,Bronze
4663,D,Flight,5,2,4549095,4,low,F,8,4418,No,Dissatisfied,4-6kg,2-4,Bronze
4664,E,Flight,5,1,3799065,4,high,M,2,4615,No,Dissatisfied,4-6kg,2-4,Bronze
4665,A,Flight,3,3,2902290,4,high,M,3,4154,No,Neutral,4-6kg,2-4,Bronze
4666,B,Flight,3,4,3000120,4,medium,M,2,4052,Yes,Satisfied,4-6kg,2-4,Bronze
4667,C,Flight,3,5,3293610,3,low,M,2,5208,Yes,Satisfied,4-6kg,2-4,Bronze
4668,E,Flight,3,3,2429445,2,medium,M,3,4527,Yes,Neutral,4-6kg,2-4,Bronze
4669,D,Flight,5,2,2168565,2,high,F,2,4556,Yes,Dissatisfied,4-6kg,2-4,Bronze
4670,E,Flight,4,4,3652320,5,low,F,9,4902,No,Satisfied,4-6kg,4-6,Silver
4671,A,Flight,4,2,4108860,2,medium,F,6,5414,Yes,Dissatisfied,4-6kg,2-4,Bronze
4672,B,Flight,4,3,3391440,2,medium,M,6,4276,No,Neutral,4-6kg,2-4,Bronze
4673,C,Flight,5,3,4174080,2,low,M,3,4456,Yes,Neutral,4-6kg,2-4,Bronze
4674,E,Flight,3,5,3358830,4,medium,M,10,4321,No,Satisfied,4-6kg,2-4,Bronze
4675,D,Flight,2,1,2885985,4,low,F,5,4358,Yes,Dissatisfied,4-6kg,2-4,Bronze
4676,E,Ship,4,4,4386045,4,medium,F,3,5032,No,Satisfied,4-6kg,2-4,Bronze
4677,A,Ship,3,5,3521880,3,high,F,2,4242,Yes,Satisfied,4-6kg,2-4,Bronze
4678,B,Ship,3,2,3603405,3,high,F,7,5477,Yes,Dissatisfied,4-6kg,2-4,Bronze
4679,C,Ship,5,4,3424050,3,medium,F,6,5102,Yes,Satisfied,4-6kg,2-4,Bronze
4680,E,Ship,4,5,3342525,3,medium,F,9,4411,Yes,Satisfied,4-6kg,2-4,Bronze
4681,D,Ship,3,3,3864285,3,low,F,7,4062,Yes,Neutral,4-6kg,2-4,Bronze
4682,E,Ship,5,4,2266395,2,medium,F,2,4217,No,Satisfied,4-6kg,2-4,Bronze
4683,A,Ship,4,4,2657715,3,low,M,3,4185,No,Satisfied,4-6kg,2-4,Bronze
4684,B,Ship,4,4,2788155,2,low,M,4,4962,Yes,Satisfied,4-6kg,2-4,Bronze
4685,C,Ship,4,3,4255605,3,low,F,9,5994,No,Neutral,4-6kg,2-4,Bronze
4686,E,Ship,4,3,3179475,2,low,M,8,4576,Yes,Neutral,4-6kg,2-4,Bronze
4687,D,Ship,4,2,3097950,6,high,M,5,4139,No,Dissatisfied,4-6kg,4-6,Silver
4688,E,Ship,5,5,3847980,3,high,M,4,5724,No,Satisfied,4-6kg,2-4,Bronze
4689,A,Ship,3,4,4141470,3,medium,M,6,5716,Yes,Satisfied,4-6kg,2-4,Bronze
4690,B,Ship,3,3,2559885,3,medium,M,10,4877,Yes,Neutral,4-6kg,2-4,Bronze
4691,C,Ship,3,1,3994725,3,medium,F,1,5325,Yes,Dissatisfied,4-6kg,2-4,Bronze
4692,E,Ship,4,1,2347920,4,medium,M,8,4303,Yes,Dissatisfied,4-6kg,2-4,Bronze
4693,D,Ship,5,3,3538185,4,low,M,3,5718,No,Neutral,4-6kg,2-4,Bronze
4694,E,Ship,3,3,4059945,2,low,F,2,5078,Yes,Neutral,4-6kg,2-4,Bronze
4695,A,Ship,3,2,2869680,2,low,F,2,5083,Yes,Dissatisfied,4-6kg,2-4,Bronze
4696,B,Ship,3,1,3750150,2,low,F,1,4970,No,Dissatisfied,4-6kg,2-4,Bronze
4697,C,Ship,3,5,3326220,2,medium,F,5,4504,No,Satisfied,4-6kg,2-4,Bronze
4698,E,Ship,4,4,4337130,2,low,F,5,5601,Yes,Satisfied,4-6kg,2-4,Bronze
4699,D,Ship,4,3,3472965,3,low,F,2,5722,Yes,Neutral,4-6kg,2-4,Bronze
4700,E,Ship,3,4,2396835,3,low,F,8,5525,Yes,Satisfied,4-6kg,2-4,Bronze
4701,A,Ship,3,1,3277305,3,low,F,3,4556,No,Dissatisfied,4-6kg,2-4,Bronze
4702,B,Ship,2,4,4043640,3,low,F,5,5441,Yes,Satisfied,4-6kg,2-4,Bronze
4703,C,Ship,4,3,2722935,3,medium,M,5,5791,Yes,Neutral,4-6kg,2-4,Bronze
4704,E,Ship,3,4,3782760,2,low,M,10,5678,Yes,Satisfied,4-6kg,2-4,Bronze
4705,D,Ship,5,3,2657715,3,medium,M,9,4419,No,Neutral,4-6kg,2-4,Bronze
4706,E,Ship,4,4,3277305,5,medium,M,3,5901,No,Satisfied,4-6kg,4-6,Silver
4707,A,Ship,4,5,4108860,2,low,F,9,4157,Yes,Satisfied,4-6kg,2-4,Bronze
4708,B,Ship,3,1,2380530,4,low,F,10,4583,Yes,Dissatisfied,4-6kg,2-4,Bronze
4709,C,Ship,5,1,2608800,3,medium,M,3,5839,Yes,Dissatisfied,4-6kg,2-4,Bronze
4710,E,Ship,5,2,2722935,4,low,M,10,4325,Yes,Dissatisfied,4-6kg,2-4,Bronze
4711,D,Ship,4,2,3652320,2,medium,F,8,4781,No,Dissatisfied,4-6kg,2-4,Bronze
4712,E,Ship,4,2,3896895,3,medium,F,5,5978,Yes,Dissatisfied,4-6kg,2-4,Bronze
4713,A,Ship,4,1,2462055,6,low,M,7,4387,Yes,Dissatisfied,4-6kg,4-6,Silver
4714,B,Ship,4,5,4304520,3,low,F,10,5972,Yes,Satisfied,4-6kg,2-4,Bronze
4715,C,Ship,4,2,3945810,3,medium,M,8,4644,No,Dissatisfied,4-6kg,2-4,Bronze
4716,E,Ship,3,3,3326220,4,high,M,9,4712,Yes,Neutral,4-6kg,2-4,Bronze
4717,D,Ship,3,5,4239300,2,medium,M,1,5970,Yes,Satisfied,4-6kg,2-4,Bronze
4718,E,Ship,3,2,4549095,3,medium,F,6,4560,Yes,Dissatisfied,4-6kg,2-4,Bronze
4719,A,Ship,3,4,3668625,4,low,F,8,5209,Yes,Satisfied,4-6kg,2-4,Bronze
4720,B,Ship,3,5,3097950,3,low,M,9,4468,Yes,Satisfied,4-6kg,2-4,Bronze
4721,C,Ship,4,2,2478360,2,low,M,7,5026,Yes,Dissatisfied,4-6kg,2-4,Bronze
4722,E,Ship,3,2,3277305,6,medium,M,7,4723,No,Dissatisfied,4-6kg,4-6,Silver
4723,D,Ship,3,2,3114255,2,medium,M,7,5357,Yes,Dissatisfied,4-6kg,2-4,Bronze
4724,E,Ship,4,3,2282700,3,low,M,1,4453,Yes,Neutral,4-6kg,2-4,Bronze
4725,A,Ship,5,3,3244695,4,medium,F,8,5362,Yes,Neutral,4-6kg,2-4,Bronze
4726,B,Ship,4,1,3163170,3,medium,F,6,5282,Yes,Dissatisfied,4-6kg,2-4,Bronze
4727,C,Ship,4,2,4451265,2,low,F,5,5608,No,Dissatisfied,4-6kg,2-4,Bronze
4728,E,Ship,4,5,4222995,2,medium,F,4,4092,No,Satisfied,4-6kg,2-4,Bronze
4729,D,Ship,4,3,2934900,3,medium,M,5,4038,No,Neutral,4-6kg,2-4,Bronze
4730,E,Ship,5,3,4092555,2,low,M,9,4458,Yes,Neutral,4-6kg,2-4,Bronze
4731,A,Ship,5,1,4386045,3,low,F,5,5031,Yes,Dissatisfied,4-6kg,2-4,Bronze
4732,B,Ship,6,3,4467570,6,medium,F,2,4281,Yes,Neutral,4-6kg,4-6,Silver
4733,C,Ship,5,5,4076250,2,medium,M,10,5475,No,Satisfied,4-6kg,2-4,Bronze
4734,E,Ship,3,5,4320825,3,medium,F,8,5980,Yes,Satisfied,4-6kg,2-4,Bronze
4735,D,Ship,4,3,2755545,10,medium,F,6,5106,No,Neutral,4-6kg,6-10,Gold
4736,E,Ship,3,4,3440355,3,high,M,8,5191,No,Satisfied,4-6kg,2-4,Bronze
4737,A,Ship,4,4,3994725,2,low,M,6,5772,Yes,Satisfied,4-6kg,2-4,Bronze
4738,B,Ship,4,1,3065340,2,low,M,6,5894,No,Dissatisfied,4-6kg,2-4,Bronze
4739,C,Ship,3,5,3978420,2,medium,F,10,4064,No,Satisfied,4-6kg,2-4,Bronze
4740,E,Ship,3,5,3799065,3,medium,F,7,5787,Yes,Satisfied,4-6kg,2-4,Bronze
4741,D,Ship,3,1,2347920,3,medium,F,6,4163,Yes,Dissatisfied,4-6kg,2-4,Bronze
4742,E,Ship,3,5,3603405,2,low,F,6,5289,Yes,Satisfied,4-6kg,2-4,Bronze
4743,A,Ship,3,5,4353435,2,high,M,2,5062,No,Satisfied,4-6kg,2-4,Bronze
4744,B,Ship,3,1,3440355,3,high,F,7,5178,Yes,Dissatisfied,4-6kg,2-4,Bronze
4745,C,Ship,4,1,3342525,3,low,F,10,4923,Yes,Dissatisfied,4-6kg,2-4,Bronze
4746,E,Ship,3,2,2347920,3,high,M,1,5307,Yes,Dissatisfied,4-6kg,2-4,Bronze
4747,D,Ship,3,3,3179475,7,medium,F,4,4614,Yes,Neutral,4-6kg,6-10,Gold
4748,E,Ship,5,5,3782760,7,medium,M,6,5139,Yes,Satisfied,4-6kg,6-10,Gold
4749,A,Ship,5,3,3244695,10,medium,F,1,5865,Yes,Neutral,4-6kg,6-10,Gold
4750,B,Ship,5,5,3782760,3,low,F,5,5338,Yes,Satisfied,4-6kg,2-4,Bronze
4751,C,Ship,5,4,4434960,2,low,F,1,5983,No,Satisfied,4-6kg,2-4,Bronze
4752,E,Ship,2,4,2722935,2,medium,M,1,4344,Yes,Satisfied,4-6kg,2-4,Bronze
4753,D,Ship,3,4,4434960,8,high,F,10,4070,Yes,Satisfied,4-6kg,6-10,Gold
4754,E,Ship,6,2,4027335,4,low,M,10,1556,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4755,A,Ship,5,5,4483875,4,medium,M,9,1215,No,Satisfied,1-2.5kg,2-4,Bronze
4756,B,Ship,6,4,4744755,4,low,F,8,1131,Yes,Satisfied,1-2.5kg,2-4,Bronze
4757,C,Ship,6,5,4320825,4,low,M,7,1404,No,Satisfied,1-2.5kg,2-4,Bronze
4758,E,Ship,7,3,4076250,5,medium,F,4,1163,No,Neutral,1-2.5kg,4-6,Silver
4759,D,Ship,7,2,4744755,4,low,F,8,1275,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4760,E,Ship,6,5,4157775,4,low,F,9,1197,Yes,Satisfied,1-2.5kg,2-4,Bronze
4761,A,Ship,6,5,4728450,4,medium,M,2,1867,No,Satisfied,1-2.5kg,2-4,Bronze
4762,B,Ship,5,5,4500180,4,low,M,2,1411,No,Satisfied,1-2.5kg,2-4,Bronze
4763,C,Ship,4,1,2429445,3,medium,F,8,1136,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4764,E,Ship,3,3,3277305,6,medium,M,2,4984,Yes,Neutral,4-6kg,4-6,Silver
4765,D,Ship,3,4,3114255,2,medium,M,8,5667,No,Satisfied,4-6kg,2-4,Bronze
4766,E,Ship,4,4,2282700,3,low,F,4,5924,No,Satisfied,4-6kg,2-4,Bronze
4767,A,Ship,5,4,3244695,4,medium,M,2,4902,No,Satisfied,4-6kg,2-4,Bronze
4768,B,Ship,4,1,3163170,3,medium,F,9,5804,Yes,Dissatisfied,4-6kg,2-4,Bronze
4769,C,Road,4,5,4451265,2,low,F,9,5724,Yes,Satisfied,4-6kg,2-4,Bronze
4770,E,Road,4,4,4222995,2,medium,F,8,4672,Yes,Satisfied,4-6kg,2-4,Bronze
4771,D,Road,4,5,2934900,3,medium,F,1,5088,Yes,Satisfied,4-6kg,2-4,Bronze
4772,E,Road,5,4,4092555,2,low,F,3,5347,No,Satisfied,4-6kg,2-4,Bronze
4773,A,Road,5,3,4386045,3,low,F,8,4811,Yes,Neutral,4-6kg,2-4,Bronze
4774,B,Road,6,3,4467570,6,medium,F,1,4632,Yes,Neutral,4-6kg,4-6,Silver
4775,C,Road,5,2,4076250,2,medium,F,6,5565,Yes,Dissatisfied,4-6kg,2-4,Bronze
4776,E,Road,3,3,4320825,3,medium,F,3,5241,Yes,Neutral,4-6kg,2-4,Bronze
4777,D,Road,4,5,2755545,10,medium,F,6,4385,Yes,Satisfied,4-6kg,6-10,Gold
4778,E,Road,3,3,3440355,3,high,F,4,4354,No,Neutral,4-6kg,2-4,Bronze
4779,A,Road,4,1,3994725,2,low,M,5,5324,No,Dissatisfied,4-6kg,2-4,Bronze
4780,B,Road,4,5,3065340,2,low,F,4,4433,Yes,Satisfied,4-6kg,2-4,Bronze
4781,C,Road,3,5,3978420,2,medium,M,8,5715,No,Satisfied,4-6kg,2-4,Bronze
4782,E,Road,3,4,3799065,3,medium,F,10,4626,Yes,Satisfied,4-6kg,2-4,Bronze
4783,D,Road,3,4,2347920,3,medium,M,8,5867,No,Satisfied,4-6kg,2-4,Bronze
4784,E,Road,3,1,3603405,2,low,F,7,5320,Yes,Dissatisfied,4-6kg,2-4,Bronze
4785,A,Road,3,5,4353435,2,high,M,1,4195,No,Satisfied,4-6kg,2-4,Bronze
4786,B,Road,3,4,3440355,3,high,M,1,5144,Yes,Satisfied,4-6kg,2-4,Bronze
4787,C,Road,4,4,3342525,3,low,M,6,4254,Yes,Satisfied,4-6kg,2-4,Bronze
4788,E,Road,3,2,2347920,3,high,F,9,4428,No,Dissatisfied,4-6kg,2-4,Bronze
4789,D,Road,3,4,3179475,7,medium,F,9,5829,Yes,Satisfied,4-6kg,6-10,Gold
4790,E,Road,5,3,3782760,7,medium,M,6,5285,No,Neutral,4-6kg,6-10,Gold
4791,A,Flight,5,1,3244695,10,medium,F,8,4140,Yes,Dissatisfied,4-6kg,6-10,Gold
4792,B,Flight,5,5,3782760,3,low,F,3,5718,No,Satisfied,4-6kg,2-4,Bronze
4793,C,Flight,5,3,4434960,2,low,F,4,5112,Yes,Neutral,4-6kg,2-4,Bronze
4794,E,Flight,2,2,2722935,2,medium,F,3,5894,No,Dissatisfied,4-6kg,2-4,Bronze
4795,D,Flight,3,3,4434960,8,high,M,7,5257,No,Neutral,4-6kg,6-10,Gold
4796,E,Flight,6,4,4027335,4,low,F,2,1326,Yes,Satisfied,1-2.5kg,2-4,Bronze
4797,A,Flight,5,2,4483875,4,medium,F,10,1141,No,Dissatisfied,1-2.5kg,2-4,Bronze
4798,B,Flight,6,5,4744755,4,low,M,9,1413,Yes,Satisfied,1-2.5kg,2-4,Bronze
4799,C,Flight,6,1,4320825,4,low,F,7,1644,No,Dissatisfied,1-2.5kg,2-4,Bronze
4800,E,Flight,7,2,4076250,5,medium,M,9,1327,Yes,Dissatisfied,1-2.5kg,4-6,Silver
4801,D,Flight,7,1,4744755,4,low,M,2,1216,No,Dissatisfied,1-2.5kg,2-4,Bronze
4802,E,Flight,6,1,4157775,4,low,F,2,1385,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4803,A,Flight,6,2,4728450,4,medium,F,9,1339,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
4804,B,Flight,6,3,4027335,4,medium,F,4,1476,No,Neutral,1-2.5kg,2-4,Bronze
4805,C,Flight,6,2,2478360,2,low,F,9,1993,Yes,Dissatisfied,1-2.5kg,2-4,Bronze
